1.22	1	Uticensis	ADJ	adverb	Case=Nom|Gender=Masc|Number=Sing	Uticensis	flat	0
1.22	2	.	PUNCT	punc		.	punct	0
1.22	3	Corsie	NOUN	noun	Case=Nom|Gender=Fem|Number=Plur	Corsia	ROOT	3
1.22	4	.	PUNCT	punc		.	punct	3
1.23	0	Pascasius	ADV	noun		Pascasius	ROOT	0
1.23	1	Migirpensis	VERB	verb	Mood=Sub|Number=Sing|Person=2|Tense=Perf|VerbForm=Fin|Voice=Act	Migirpensis	amod	0
1.23	2	ut	ADV	adverb		ut	mark	3
1.23	3	sp	NOUN	noun		sps	advcl:cmp	0
1.23	4	.	PUNCT	punc		.	punct	3
1.24	0	Carissimus	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Carus	amod	1
1.24	1	Gisipensis	PROPN	noun	Case=Abl|Gender=Masc|Number=Plur	Gisipensis	ROOT	1
1.24	2	.	PUNCT	punc		.	punct	1
1.24	3	in	ADP	preposition		in	case	4
1.24	4	exil	VERB	adjective	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	exil	ROOT	4
1.24	5	.	PUNCT	punc		.	punct	4
1.25	0	Gaius	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Gaius	ROOT	0
1.25	1	Uzitensis	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Uzitensis	flat:name	0
1.25	2	prbt	NOUN	noun		prbt	appos	0
1.25	3	.	PUNCT	punc		.	punct	0
1.26	0	Exitiosus	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	exitiosus	ROOT	0
1.26	1	Uerensis	VERB	verb	Case=Gen|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Act	Uerensis	advcl	0
1.26	2	.	PUNCT	punc		.	punct	0
1.26	3	Corsic	ADV	noun		Corsic	ROOT	3
1.26	4	.	PUNCT	punc		.	punct	3
1.27	0	Crescens	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Crescens	ROOT	0
1.27	1	Cicisitanus	ADJ	noun	Case=Nom|Gender=Masc|Number=Sing	Cicisitanus	amod	0
1.27	2	.	PUNCT	punc		.	punct	0
1.27	3	in	ADP	preposition		in	case	4
1.27	4	exil	VERB	adjective	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	exil	ROOT	4
1.27	5	.	PUNCT	punc		.	punct	4
1.28	0	Bonifatius	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Bonifatius	ROOT	0
1.28	1	Uolitanus	VERB	proper_noun	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Pass	uolitanus	acl	0
1.28	2	.	PUNCT	punc		.	punct	0
1.28	3	Corsica	PROPN	proper_noun	Case=Abl|Gender=Fem|Number=Sing	Corsica	ROOT	3
1.28	4	.	PUNCT	punc		.	punct	3
1.29	0	Felix	PROPN	adjective	Case=Nom|Gender=Masc|Number=Sing	Felix	ROOT	0
